year,geography_type,geography_id,geography_name,taz_id,CO_TAZID,CO_FIPS,CO_NAME,CITY_FIPS,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
2023,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3107.0,10405.965,3.349,2077.0,81.0,333.0,1663.0,2636.734,54.0,27.0,148.0,185.0,882.0,308.0,217.0,256.0,6.048,0.0,353.43399999999997,200.255
2024,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3148.0,10478.918,3.329,2076.0,81.0,336.0,1659.0,2401.663,54.0,27.0,148.0,188.0,874.0,309.0,219.0,257.0,6.048,0.0,125.214,194.4
2025,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3209.0,10557.029,3.29,2077.0,81.0,336.0,1660.0,2588.608,54.0,27.0,148.0,188.0,875.0,309.0,219.0,257.0,6.046,0.0,293.2,212.363
2026,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3243.0,10545.571,3.252,2077.0,81.0,336.0,1660.0,2582.685,54.0,27.0,148.0,188.0,875.0,309.0,219.0,257.0,5.038,0.0,286.555,214.091
2027,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3263.0,10494.149,3.216,2073.0,81.0,336.0,1656.0,2492.497,54.0,27.0,148.0,188.0,871.0,309.0,219.0,257.0,5.04,0.0,199.186,215.267
2028,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3273.0,10416.849,3.183,2073.0,81.0,336.0,1656.0,2488.496,54.0,27.0,148.0,188.0,871.0,309.0,219.0,257.0,5.034999999999999,0.0,198.154,212.30700000000002
2029,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3282.0,10332.429,3.148,2074.0,81.0,337.0,1656.0,2486.4030000000002,54.0,27.0,148.0,189.0,871.0,309.0,219.0,257.0,5.042,0.0,195.103,212.26
2030,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3285.0,10239.795,3.117,2076.0,81.0,337.0,1658.0,2484.456,54.0,27.0,148.0,189.0,871.0,309.0,220.0,258.0,5.055,0.0,192.218,211.183
2031,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3289.0,10156.506,3.088,2076.0,81.0,337.0,1658.0,2495.882,54.0,27.0,148.0,189.0,871.0,309.0,220.0,258.0,5.05,0.0,204.663,210.166
2032,city,Alpine,Alpine,,,,,,Alpine,,,,,,,3295.0,10081.801,3.06,2076.0,81.0,337.0,1658.0,2514.5389999999998,54.0,27.0,148.0,189.0,871.0,309.0,220.0,258.0,5.052,0.0,223.52,209.96599999999998
