year,geography_type,geography_id,geography_name,taz_id,CO_TAZID,CO_FIPS,CO_NAME,CITY_FIPS,CITY_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ
2023,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,437.0,1402.0,3.208,607.0,32.0,500.0,75.0,932.0,32.0,0.0,106.0,394.0,36.0,0.0,2.0,37.0,262.0,0.0,40.0,23.0
2024,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,443.0,1410.0,3.183,606.0,34.0,499.0,73.0,933.0,34.0,0.0,99.0,400.0,37.0,0.0,2.0,34.0,260.0,0.0,44.0,23.0
2025,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,451.0,1422.0,3.153,625.0,34.0,517.0,74.0,955.0,34.0,0.0,101.0,416.0,38.0,0.0,2.0,34.0,260.0,0.0,46.0,24.0
2026,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,458.0,1433.0,3.129,640.0,34.0,531.0,75.0,973.0,34.0,0.0,102.0,429.0,37.0,0.0,2.0,36.0,260.0,0.0,49.0,24.0
2027,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,469.0,1444.0,3.079,651.0,34.0,541.0,76.0,985.0,34.0,0.0,103.0,438.0,37.0,0.0,2.0,37.0,260.0,0.0,50.0,24.0
2028,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,476.0,1454.0,3.055,661.0,34.0,551.0,76.0,997.0,34.0,0.0,103.0,448.0,37.0,0.0,2.0,37.0,259.0,0.0,53.0,24.0
2029,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,485.0,1466.0,3.023,672.0,34.0,562.0,76.0,1009.0,34.0,0.0,105.0,457.0,37.0,0.0,2.0,37.0,258.0,0.0,53.0,26.0
2030,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,496.0,1475.0,2.974,684.0,35.0,572.0,77.0,1022.0,35.0,0.0,107.0,465.0,37.0,0.0,2.0,38.0,258.0,0.0,54.0,26.0
2031,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,504.0,1490.0,2.956,695.0,36.0,582.0,77.0,1034.0,36.0,0.0,110.0,472.0,37.0,0.0,2.0,38.0,256.0,0.0,55.0,28.0
2032,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,513.0,1503.0,2.93,703.0,36.0,590.0,77.0,1043.0,36.0,0.0,111.0,479.0,37.0,0.0,2.0,38.0,256.0,0.0,56.0,28.0
2033,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,521.0,1513.0,2.904,712.0,36.0,597.0,79.0,1055.0,36.0,0.0,112.0,485.0,38.0,0.0,2.0,39.0,257.0,0.0,57.0,29.0
2034,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,532.0,1531.0,2.878,710.0,36.0,595.0,79.0,1052.0,36.0,0.0,113.0,482.0,38.0,0.0,2.0,39.0,256.0,0.0,57.0,29.0
2035,medium_district,1,North of Brigham City,,,,,,,,,1,North of Brigham City,,,542.0,1543.0,2.847,702.0,36.0,586.0,80.0,1045.0,36.0,0.0,114.0,472.0,39.0,0.0,2.0,39.0,257.0,0.0,57.0,29.0
